,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,target_cls,target_reg
0,4,7,5,5,4,6,7,3,7,11,8,9,3,8,4,8,15.700000000000001,8.75,4.69,32.699999999999996,5,7.389999999999999
1,4,7,6,5,5,6,8,3,7,11,8,9,3,8,4,7,18.84,8.75,4.69,32.699999999999996,5,7.829999999999998
2,3,5,4,3,3,7,8,5,5,7,7,6,5,9,2,6,12.56,6.25,3.35,52.5,14,6.279999999999999
3,4,10,6,7,6,5,7,5,7,6,6,12,3,8,6,9,18.84,8.75,6.7,54.0,11,8.739999999999998
4,4,10,6,8,4,8,11,2,3,4,10,9,3,11,1,8,18.84,3.75,6.7,23.4,22,9.76
5,1,0,1,1,1,5,7,5,8,7,6,12,0,8,6,9,3.14,10.0,0.0,51.0,5,4.35
6,4,8,6,6,4,7,7,3,9,5,6,8,3,8,7,8,18.84,11.25,5.36,33.0,24,7.979999999999999
7,3,6,4,4,3,7,9,7,4,7,8,7,3,8,2,8,12.56,5.0,4.0200000000000005,73.19999999999999,15,6.6
8,3,8,5,6,6,8,7,4,3,6,6,7,7,8,7,6,15.700000000000001,3.75,5.36,43.199999999999996,8,8.440000000000001
9,4,10,5,8,4,5,12,4,7,9,12,7,2,12,1,7,15.700000000000001,8.75,6.7,43.8,20,9.39
10,3,4,4,6,1,5,7,6,9,7,6,14,1,9,4,9,12.56,11.25,2.68,62.4,3,6.639999999999999
11,4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8,18.84,5.0,5.36,84.0,15,7.049999999999999
12,1,0,2,0,0,7,7,4,4,7,6,8,2,8,3,8,6.28,5.0,0.0,40.8,24,3.7599999999999993
13,10,10,10,8,7,2,11,2,3,10,10,8,7,11,2,7,31.400000000000002,3.75,6.7,23.4,23,11.200000000000003
14,1,0,1,0,1,5,7,5,7,7,6,12,0,8,6,9,3.14,8.75,0.0,51.0,5,4.199999999999999
15,2,4,4,3,2,7,9,4,3,11,4,4,1,10,3,8,12.56,3.75,2.68,42.0,16,5.149999999999999
16,10,15,10,8,8,9,7,4,5,9,5,7,7,5,9,8,31.400000000000002,6.25,10.05,45.3,2,11.5
